2021-08-30 13:34:00,173 INFO  [GenericFunctions] I am in onTestStart method tc_ES_16_VerifyNewClaimAdded start , I am in onTestStart class TC_ES_16_VerifyNewClaimAdded start 
2021-08-30 13:35:47,627 INFO  [GenericFunctions] I am in onTestFailure method tc_ES_16_VerifyNewClaimAdded failed, I am in onTestFailure class TC_ES_16_VerifyNewClaimAdded failed 
2021-08-30 13:36:05,459 INFO  [GenericFunctions] I am in onTestStart method tc_ES_17_VerifyNewTicketAdded start , I am in onTestStart class TC_ES_17_VerifyNewTicketAdded start 
2021-08-30 13:37:40,594 INFO  [GenericFunctions] I am in onTestFailure method tc_ES_17_VerifyNewTicketAdded failed, I am in onTestFailure class TC_ES_17_VerifyNewTicketAdded failed 
2021-08-30 13:37:57,973 INFO  [GenericFunctions] I am in onTestStart method tc_ES_18_saveAndVerifyShipment start , I am in onTestStart class TC_ES_18_CreateQuickQuoteAndVerifyInSavedQuote start 
2021-08-30 13:39:31,339 INFO  [GenericFunctions] I am in onTestFailure method tc_ES_18_saveAndVerifyShipment failed, I am in onTestFailure class TC_ES_18_CreateQuickQuoteAndVerifyInSavedQuote failed 
2021-08-30 13:39:49,366 INFO  [GenericFunctions] I am in onTestStart method tc_ES_19_saveAndVerifyQuickQuote start , I am in onTestStart class TC_ES_19_CreateShipmentAndVerifyInSavedQuote start 
2021-08-30 13:40:28,151 INFO  [GenericFunctions] I am in onTestFailure method tc_ES_19_saveAndVerifyQuickQuote failed, I am in onTestFailure class TC_ES_19_CreateShipmentAndVerifyInSavedQuote failed 
2021-08-30 13:40:44,535 INFO  [GenericFunctions] I am in onTestStart method tc_ES_20_VerifyViewAndAddEDIFile start , I am in onTestStart class TC_ES_20_VerifyViewAndAddEDIFile start 
2021-08-30 13:41:17,442 INFO  [GenericFunctions] I am in onTestSuccess method tc_ES_20_VerifyViewAndAddEDIFile succeed , I am in onTestSuccess class TC_ES_20_VerifyViewAndAddEDIFile succeed 
2021-08-30 13:41:37,384 INFO  [GenericFunctions] I am in onTestStart method tc_ES_21_VerifyUserIsAbleToAddEditViewCommissions start , I am in onTestStart class TC_ES_21_VerifyUserIsAbleToAddEditViewCommissions start 
2021-08-30 13:41:55,632 INFO  [GenericFunctions] I am in onTestSuccess method tc_ES_21_VerifyUserIsAbleToAddEditViewCommissions succeed , I am in onTestSuccess class TC_ES_21_VerifyUserIsAbleToAddEditViewCommissions succeed 
2021-08-30 13:42:15,521 INFO  [GenericFunctions] I am in onTestStart method tc_ES_22_VerifyUserAbleToViewCarriers start , I am in onTestStart class TC_ES_22_VerifyUserAbleToViewCarriers start 
2021-08-30 13:45:37,116 INFO  [GenericFunctions] I am in onTestFailure method tc_ES_22_VerifyUserAbleToViewCarriers failed, I am in onTestFailure class TC_ES_22_VerifyUserAbleToViewCarriers failed 
2021-08-30 13:45:54,429 INFO  [GenericFunctions] I am in onTestStart method tc_ES_23_VerifyUserRegistrationAsCreditCardCustomer start , I am in onTestStart class TC_ES_23_VerifyUserRegistrationAsCreditCardCustomer start 
2021-08-30 13:48:12,005 INFO  [GenericFunctions] I am in onTestSuccess method tc_ES_23_VerifyUserRegistrationAsCreditCardCustomer succeed , I am in onTestSuccess class TC_ES_23_VerifyUserRegistrationAsCreditCardCustomer succeed 
2021-08-30 13:48:26,830 INFO  [GenericFunctions] I am in onTestStart method tc_ES_24_VerifyUserAbleToBulkTrackShipment start , I am in onTestStart class TC_ES_24_VerifyUserAbleToBulkTrackShipment start 
2021-08-30 13:49:14,420 INFO  [GenericFunctions] I am in onTestFailure method tc_ES_24_VerifyUserAbleToBulkTrackShipment failed, I am in onTestFailure class TC_ES_24_VerifyUserAbleToBulkTrackShipment failed 
2021-08-30 13:49:32,232 INFO  [GenericFunctions] I am in onTestStart method tc_ES_CreateInstantQuoteToOutsideCountry start , I am in onTestStart class TC_ES_CreateAndVerifyInstantQuoteToOutsideCountry start 
2021-08-30 13:50:03,347 INFO  [GenericFunctions] I am in onTestSuccess method tc_ES_CreateInstantQuoteToOutsideCountry succeed , I am in onTestSuccess class TC_ES_CreateAndVerifyInstantQuoteToOutsideCountry succeed 
2021-08-30 13:50:13,783 INFO  [GenericFunctions] I am in onFinish method Chrome-Execution 
2021-08-30 17:23:28,920 INFO  [GenericFunctions] I am in onStart method Chrome-Execution 
2021-08-30 17:23:45,039 INFO  [GenericFunctions] I am in onTestStart method tC_ES_010_VerifyThatUserCanCreateWorkorderAsLive start , I am in onTestStart class TC_ES_010_VerifyThatUserCanCreateWorkorderAsLive start 
2021-08-30 17:24:30,816 INFO  [GenericFunctions] I am in onTestFailure method tC_ES_010_VerifyThatUserCanCreateWorkorderAsLive failed, I am in onTestFailure class TC_ES_010_VerifyThatUserCanCreateWorkorderAsLive failed 
2021-08-30 17:24:45,396 INFO  [GenericFunctions] I am in onTestStart method tc_ES_01_VerifyNewSalesAgentCreationUnderFranchise start , I am in onTestStart class TC_ES_01_VerifyNewSalesAgentCreationUnderFranchise start 
2021-08-30 17:26:38,755 INFO  [GenericFunctions] I am in onTestSuccess method tc_ES_01_VerifyNewSalesAgentCreationUnderFranchise succeed , I am in onTestSuccess class TC_ES_01_VerifyNewSalesAgentCreationUnderFranchise succeed 
2021-08-30 17:27:01,252 INFO  [GenericFunctions] I am in onTestStart method tc_ES_02_VerifyRegisterCustomerWithPromoCode start , I am in onTestStart class TC_ES_02_VerifyRegisterCustomerWithPromoCode start 
2021-08-30 17:27:50,604 INFO  [GenericFunctions] I am in onTestFailure method tc_ES_02_VerifyRegisterCustomerWithPromoCode failed, I am in onTestFailure class TC_ES_02_VerifyRegisterCustomerWithPromoCode failed 
2021-08-30 17:28:12,463 INFO  [GenericFunctions] I am in onTestStart method tc_ES_03_VerifyUserRegistrationAsCreditLimitCustomer start , I am in onTestStart class TC_ES_03_VerifyUserRegistrationAsCreditLimitCustomer start 
2021-08-30 17:30:50,082 INFO  [GenericFunctions] I am in onTestSuccess method tc_ES_03_VerifyUserRegistrationAsCreditLimitCustomer succeed , I am in onTestSuccess class TC_ES_03_VerifyUserRegistrationAsCreditLimitCustomer succeed 
2021-08-30 17:31:13,946 INFO  [GenericFunctions] I am in onTestStart method tc_ES_04_CreateInstantQuoteWithinCountry start , I am in onTestStart class TC_ES_04_CreateAndVerifyInstantQuoteWithinCountry start 
